Latitude,Longitude,Clone
44.89910976,-88.49819644,N4
44.89856982,-88.4982105,
44.89802988,-88.49822456,
44.89748994,-88.49823861,
44.89695,-88.49825267,
44.89641006,-88.49826673,
44.89587012,-88.49828078,
44.89533018,-88.49829484,
44.89479024,-88.4983089,
44.8942503,-88.49832295,
44.89371036,-88.49833701,
44.89317042,-88.49835106,
44.90125952,-88.4973805,
44.90071958,-88.49739456,
44.90017964,-88.49740863,
44.89963971,-88.4974227,
44.89909977,-88.49743676,
44.89855983,-88.49745083,
44.89801989,-88.49746489,
44.89747995,-88.49747896,
44.89694001,-88.49749302,
44.89640007,-88.49750708,
44.89586013,-88.49752115,
44.89532019,-88.49753521,
44.89478025,-88.49754927,
44.89424031,-88.49756334,
44.89370037,-88.4975774,
44.89316043,-88.49759146,
44.90124952,-88.49662079,
44.90070958,-88.49663486,
44.90016964,-88.49664894,
44.89962971,-88.49666301,
44.89908977,-88.49667708,
44.89854983,-88.49669115,
44.89800989,-88.49670523,
44.89746995,-88.4967193,
44.89693001,-88.49673337,
44.89639007,-88.49674744,
44.89585013,-88.49676151,
44.89531019,-88.49677558,
44.89477025,-88.49678965,
44.89423031,-88.49680372,
44.89369037,-88.49681779,
44.89315043,-88.49683186,
44.8926105,-88.49684593,
44.90123952,-88.49586108,
44.90069958,-88.49587516,
44.90015964,-88.49588924,
44.8996197,-88.49590332,
44.89907976,-88.4959174,
44.89853982,-88.49593148,
44.89799988,-88.49594556,
44.89745995,-88.49595964,
44.89692001,-88.49597372,
44.89638007,-88.4959878,
44.89584013,-88.49600188,
44.89530019,-88.49601595,
44.89476025,-88.49603003,
44.89422031,-88.49604411,
44.89368037,-88.49605818,N1
44.89314043,-88.49607226,
44.89260049,-88.49608633,
44.90122951,-88.49510137,
44.90068957,-88.49511546,
44.90014963,-88.49512955,
44.89960969,-88.49514364,
44.89906975,-88.49515773,
44.89852981,-88.49517181,
44.89798988,-88.4951859,
44.89744994,-88.49519998,
44.89691,-88.49521407,N4
44.89637006,-88.49522816,
44.89583012,-88.49524224,
44.89529018,-88.49525632,
44.89475024,-88.49527041,
44.8942103,-88.49528449,
44.89367036,-88.49529858,
44.89313042,-88.49531266,
44.89259049,-88.49532674,
44.90121949,-88.49434167,
44.90067955,-88.49435576,
44.90013961,-88.49436986,
44.89959968,-88.49438395,
44.89905974,-88.49439805,
44.8985198,-88.49441214,
44.89797986,-88.49442623,
44.89743992,-88.49444033,
44.89689998,-88.49445442,N1
44.89636004,-88.49446851,
44.89582011,-88.4944826,
44.89528017,-88.4944967,N1
44.89474023,-88.49451079,
44.89420029,-88.49452488,
44.89366035,-88.49453897,
44.89312041,-88.49455306,
44.90120947,-88.49358196,
44.90066953,-88.49359606,
44.90012959,-88.49361017,
44.89958966,-88.49362427,
44.89904972,-88.49363837,
44.89850978,-88.49365247,
44.89796984,-88.49366657,
44.8974299,-88.49368067,
44.89688996,-88.49369477,
44.89635003,-88.49370887,
44.89581009,-88.49372297,
44.89527015,-88.49373707,
44.89473021,-88.49375117,
44.89419027,-88.49376526,
44.89365033,-88.49377936,
44.90065951,-88.49283637,
44.90011957,-88.49285048,
44.89957963,-88.49286458,
44.89903969,-88.49287869,
44.89849975,-88.4928928,
44.89795982,-88.49290691,
44.89741988,-88.49292102,
44.89687994,-88.49293512,
44.89634,-88.49294923,
44.89580006,-88.49296334,
44.89526013,-88.49297744,
44.89472019,-88.49299155,
44.90010954,-88.49209079,
44.8995696,-88.4921049,
44.89902966,-88.49211902,
44.89848973,-88.49213313,
44.89794979,-88.49214725,
44.89740985,-88.49216136,
44.89686991,-88.49217547,
44.89632997,-88.49218959,
44.89579003,-88.4922037,
44.89901963,-88.49135934,
44.89847969,-88.49137346,N6
